State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
TX,Tarrant County,"Tarrant County, TX",2236863682,100074445,863.658,38.639,32.772119,-97.291224,48439,48439
TX,Taylor County,"Taylor County, TX",2371228266,9760311,915.536,3.768,32.297126,-99.89043,12123,12123
TX,Terrell County,"Terrell County, TX",6107081791,259482,2357.958,0.1,30.232343,-102.072513,13273,13273
TX,Terry County,"Terry County, TX",2302083289,5443860,888.839,2.102,33.171229,-102.339284,48445,48445
TX,Throckmorton County,"Throckmorton County, TX",2363499444,7586186,912.552,2.929,33.170695,-99.205796,48447,48447
TX,Titus County,"Titus County, TX",1051697794,50713653,406.063,19.581,33.214599,-94.966783,48449,48449
TX,Tom Green County,"Tom Green County, TX",3941965407,48077315,1522.001,18.563,31.398823,-100.463788,48451,48451
TX,Travis County,"Travis County, TX",2569870978,79794856,992.233,30.809,30.239513,-97.69127,48453,48453
TX,Trinity County,"Trinity County, TX",1796924637,52256877,693.797,20.176,31.096675,-95.151687,6105,6105
TX,Tyler County,"Tyler County, TX",2394158696,29093511,924.39,11.233,30.769295,-94.375656,48457,48457
TX,Upshur County,"Upshur County, TX",1509910856,24878112,582.98,9.605,32.735349,-94.941184,48459,48459
TX,Upton County,"Upton County, TX",3215010598,464309,1241.323,0.179,31.353816,-102.041546,48461,48461
TX,Uvalde County,"Uvalde County, TX",4019455750,17385901,1551.921,6.713,29.350308,-99.768427,48463,48463
TX,Val Verde County,"Val Verde County, TX",8144863666,227711335,3144.75,87.92,29.875285,-101.143324,48465,48465
TX,Van Zandt County,"Van Zandt County, TX",2182248065,44152062,842.571,17.047,32.558787,-95.836906,48467,48467
TX,Victoria County,"Victoria County, TX",2284644911,17425944,882.106,6.728,28.79637,-96.971198,48469,48469
TX,Walker County,"Walker County, TX",2031124893,44747191,784.222,17.277,30.743163,-95.569825,1127,1127
TX,Waller County,"Waller County, TX",1329330074,11827973,513.257,4.567,30.01359,-95.982149,48473,48473
TX,Ward County,"Ward County, TX",2164201060,624206,835.603,0.241,31.513069,-103.105113,38101,38101
TX,Washington County,"Washington County, TX",1564854987,45471813,604.194,17.557,30.215075,-96.410272,1129,1129
TX,Webb County,"Webb County, TX",8706186717,36555095,3361.478,14.114,27.760799,-99.340752,48479,48479
TX,Wharton County,"Wharton County, TX",2813117310,21287759,1086.151,8.219,29.27848,-96.229674,48481,48481
TX,Wheeler County,"Wheeler County, TX",2368629213,2455912,914.533,0.948,35.392593,-100.253107,13309,13309
TX,Wichita County,"Wichita County, TX",1625459969,13644166,627.594,5.268,33.988212,-98.70801,20203,20203
TX,Wilbarger County,"Wilbarger County, TX",2514738098,18202665,970.946,7.028,34.08492,-99.24244,48487,48487
TX,Willacy County,"Willacy County, TX",1529652132,502884780,590.602,194.165,26.481861,-97.594731,48489,48489
